Address,Latitude,Longitude
Alexanderstr. 8,52.522989911923,13.413638716382
Alexanderstr. 8,52.522989911923,13.413638716382
Alexanderstr. 8a,52.522989911923,13.413638716382
Alexanderstr. 8a,52.522989911923,13.413638716382
Alexanderstr. 8a,52.522989911923,13.413638716382
Alexanderstr. 8a,52.522989911923,13.413638716382
Alexandrinenstr. ,52.506291273156,13.408512855886
Alexandrinenstr. 1,52.498657299438,13.400017513614
Alexandrinenstr. 100,52.504817579177,13.401487447974
Alexandrinenstr. 101,52.503937605072,13.403971508799
Alexandrinenstr. 104,52.50444394832,13.404537269937
Alexandrinenstr. 105/106,52.50444394832,13.404537269937
Alexandrinenstr. 105/106,52.50444394832,13.404537269937
Alexandrinenstr. 105/106,52.50444394832,13.404537269937
